name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
nantes,2023-11-29T00:00:00,37.3,37.3,35.5,93.26,0,0,,0,0,3.4,0.1,2,1011,67,2.5,0,0,0,10,Partially cloudy,partly-cloudy-night,"LFRZ,E0490,LFRS"
nantes,2023-11-29T01:00:00,35.5,35.5,35.5,100,0,0,,0,0,2.7,0,2,1011,68.6,3.1,0,0,0,10,Partially cloudy,partly-cloudy-night,"LFRZ,E0490,LFRS"
nantes,2023-11-29T02:00:00,35.6,32.9,35.6,100,0,0,,0,0,3.6,3.4,139,1010,88,3.1,0,0,0,10,Partially cloudy,partly-cloudy-night,"LFRZ,E0490,LFRS"
nantes,2023-11-29T03:00:00,33.8,33.8,32,93.15,0,0,,0,0,3.6,2.3,139,1010,88,0.7,0,0,0,10,Partially cloudy,fog,"LFRZ,E0490,LFRS"
nantes,2023-11-29T04:00:00,35.6,32.9,33.8,93.09,0,0,,0,0,4.9,3.4,139,1009,100,1.9,0,0,0,10,Overcast,cloudy,"LFRZ,E0490,LFRS"
nantes,2023-11-29T05:00:00,33.8,30.8,33.8,100,0,0,,0,0,6.3,3.4,149,1009,100,1.9,0,0,0,10,Overcast,cloudy,"LFRZ,E0490,LFRS"
nantes,2023-11-29T06:00:00,33.7,29.4,33.7,99.87,0,0,,0,0,7.2,4.7,129,1008,25,3.1,0,0,0,10,Partially cloudy,partly-cloudy-night,"LFRZ,E0490,LFRS"
nantes,2023-11-29T07:00:00,35.5,29.1,33.7,93.2,0,0,,0,0,7.2,8,129,1008,100,4.3,0,0,0,10,Overcast,cloudy,"LFRZ,E0490,LFRS"
nantes,2023-11-29T08:00:00,33.7,30.8,33.7,100,0,0,,0,0,7.2,3.4,139,1007,100,2.5,0,0,0,10,Overcast,cloudy,"LFRZ,E0490,LFRS"
nantes,2023-11-29T09:00:00,35.5,30.6,33.7,93.2,0,0,,0,0,7.4,5.8,139,1008,88,2.5,17,0.1,0,10,Partially cloudy,partly-cloudy-day,"LFRZ,E0490,LFRS"
nantes,2023-11-29T10:00:00,37.3,32,37.3,100,0,0,,0,0,9.2,6.9,139,1007,50,3.7,42,0.2,0,10,Partially cloudy,partly-cloudy-day,"LFRZ,E0490,LFRS"
nantes,2023-11-29T11:00:00,40.9,35.7,39.1,93.25,0,0,,0,0,10.3,8,150,1006,100,5.6,152,0.5,2,10,Overcast,cloudy,"LFRZ,E0490,LFRS"
nantes,2023-11-29T12:00:00,44.6,40.7,40.9,86.88,0,0,,0,0,9.8,6.9,160,1006,100,6.2,148,0.5,1,10,Overcast,cloudy,"LFRZ,E0490,LFRS"
nantes,2023-11-29T13:00:00,48.1,45.5,39.1,70.89,0,0,,0,0,12.5,5.9,170,1005,100,6.2,205,0.7,2,10,Overcast,cloudy,"LFRZ,E0490,LFRS"
nantes,2023-11-29T14:00:00,48.1,44,37.4,66.15,0,0,,0,0,11.9,9.2,170,1004,100,6.2,151,0.5,2,10,Overcast,cloudy,"LFRZ,E0490,LFRS"
nantes,2023-11-29T15:00:00,44,41.5,38.6,81.17,0,0,,0,0,10.7,4.5,121.1,1004,100,15,124,0.4,1,10,Overcast,cloudy,
nantes,2023-11-29T16:00:00,43.8,41.3,37.8,79.46,0,0,,0,0,9.4,4.5,120.4,1003,100,15,74,0.3,1,10,Overcast,cloudy,
nantes,2023-11-29T17:00:00,43.1,43.1,38.6,84.01,0,0,,0,0,8.1,2.5,80.4,1003,100,15,45,0.2,0,10,Overcast,cloudy,
nantes,2023-11-29T18:00:00,42.2,40.4,38.4,86.36,0,0,,0,0,6,3.4,77.1,1003,100,15,1,0,0,10,Overcast,cloudy,
nantes,2023-11-29T19:00:00,42,39.6,38.2,86.35,0,0,,0,0,8.1,4,72.1,1002,99.9,15,0,0,0,10,Overcast,cloudy,
nantes,2023-11-29T20:00:00,41.4,39.9,38.4,88.79,0,61.9,rain,0,0,6.9,3.1,69,1002,82.2,13,0,0,0,10,"Rain, Partially cloudy",rain,
nantes,2023-11-29T21:00:00,40.9,39,38.2,90.02,0,61.9,rain,0,0,5.8,3.4,73.3,1002,100,15,0,0,0,10,"Rain, Overcast",rain,
nantes,2023-11-29T22:00:00,40.7,38.8,37.7,88.75,0,61.9,rain,0,0,7.4,3.4,75.6,1002,100,12.3,0,0,0,10,"Rain, Overcast",rain,
nantes,2023-11-29T23:00:00,40.5,37.4,36.9,86.88,0,61.9,rain,0,0,8.3,4.7,76.3,1002,100,14.5,0,0,0,10,"Rain, Overcast",rain,
nantes,2023-11-30T00:00:00,40.4,38.2,36.8,86.87,0,61.9,rain,0,0,8.7,3.6,54.5,1001,100,10.7,0,0,0,10,"Rain, Overcast",rain,
nantes,2023-11-30T01:00:00,40.2,36.4,36.9,88.1,0,61.9,rain,0,0,9.6,5.4,61.9,1000,100,6.9,0,0,0,10,"Rain, Overcast",rain,
nantes,2023-11-30T02:00:00,40,36.7,36.9,88.72,0,23.8,rain,0,0,9.6,4.7,68.5,1000,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-11-30T03:00:00,39.6,36.1,36.4,88.07,0,23.8,,0,0,9.2,4.9,76.9,1000,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-11-30T04:00:00,39.5,35.1,36,87.44,0,23.8,,0,0,10.7,6,69,999,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-11-30T05:00:00,38.9,35.5,35.5,87.41,0,23.8,,0,0,11,4.7,82,998,70.6,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-11-30T06:00:00,38.4,35.2,35.3,88.64,0,23.8,,0,0,8.3,4.3,83.2,998,92.3,15,0,0,0,10,Overcast,cloudy,
nantes,2023-11-30T07:00:00,38.4,34.6,35.1,88.01,0,23.8,,0,0,8.7,4.9,82.7,998,82.7,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-11-30T08:00:00,37.7,34.4,35,89.88,0,19,,0,0,8.7,4.3,94.5,998,72.9,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-11-30T09:00:00,37.1,35,34.6,90.51,0.004,19,rain,0,0,7.4,3.1,110.9,999,75.7,15,2,0,0,10,Partially cloudy,partly-cloudy-day,
nantes,2023-11-30T10:00:00,38.7,35.6,35.1,86.78,0.004,19,rain,0,0,7.8,4.3,110.4,998,84.9,15,27,0.1,0,10,Partially cloudy,partly-cloudy-day,
nantes,2023-11-30T11:00:00,41.6,37,36,80.42,0.004,19,rain,0,0,15,7.2,111.9,997,37.6,4.7,40,0.1,0,10,Partially cloudy,partly-cloudy-day,
nantes,2023-11-30T12:00:00,44.1,41.4,38.4,80.05,0,19,,0,0,13,4.9,126.4,998,74.7,15,18,0.1,0,10,Partially cloudy,partly-cloudy-day,
nantes,2023-11-30T13:00:00,45.8,43.3,40.5,81.87,0.02,19,rain,0,0,13.6,4.9,142.4,997,83.2,14.1,21,0.1,0,10,Partially cloudy,partly-cloudy-day,
nantes,2023-11-30T14:00:00,47.7,45.2,42.9,83.16,0,23.8,rain,0,0,11,5.6,170.5,997,59.7,9.9,88,0.3,1,10,Partially cloudy,partly-cloudy-day,
nantes,2023-11-30T15:00:00,49.9,47.1,44,79.95,0,23.8,,0,0,13.6,6.9,258.8,997,77.1,15,11,0,0,10,Partially cloudy,partly-cloudy-day,
nantes,2023-11-30T16:00:00,49.7,47.7,43.8,79.94,0,23.8,,0,0,12.5,5.4,263.6,997,52.5,14.7,167,0.6,2,10,Partially cloudy,partly-cloudy-day,
nantes,2023-11-30T17:00:00,47.9,46.1,43.6,84.91,0,23.8,,0,0,9.8,4.5,249.2,997,52.5,15,51,0.2,1,10,Partially cloudy,partly-cloudy-day,
nantes,2023-11-30T18:00:00,45.8,45.8,43.1,90.23,0,23.8,,0,0,7.8,2.5,243,998,70.5,15,1,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-11-30T19:00:00,44.7,44.7,42.3,91.44,0,23.8,,0,0,4.3,2.2,235,998,66.3,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-11-30T20:00:00,43.6,43.6,41.6,92.68,0,42.9,,0,0,3.8,2.2,222.1,998,70.3,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-11-30T21:00:00,43.1,43.1,41.4,93.96,0,42.9,,0,0,3.8,2,222.6,998,70.1,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-11-30T22:00:00,42.7,42.7,41.1,93.95,0,42.9,,0,0,3.6,2.2,212.7,999,82.3,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-11-30T23:00:00,42,42,40.7,95.25,0,42.9,,0,0,3.6,1.8,223.9,999,82.3,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-01T00:00:00,41.8,41.8,40.4,94.58,0,42.9,,0,0,2.9,0.9,191.3,1000,92.2,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-01T01:00:00,41.4,41.4,40.5,96.58,0,42.9,,0,0,1.3,0.7,78.7,1000,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-01T02:00:00,40.9,40.9,40.2,97.25,0.004,28.6,rain,0,0,3.8,2.2,38,1000,85.9,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-01T03:00:00,40.5,40.5,39.6,96.57,0,28.6,,0,0,4.7,2.5,59.5,1001,88.3,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-01T04:00:00,40.9,40.9,39.8,95.9,0,28.6,,0,0,4.3,1.8,40.6,1001,76.5,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-01T05:00:00,40,36.9,38.9,95.88,0,28.6,,0,0,8.1,4.5,20.1,1001,74.6,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-01T06:00:00,39.8,36.7,38.2,93.87,0,28.6,,0,0,8.5,4.5,29.8,1001,91,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-01T07:00:00,39.6,35.2,38.2,94.53,0,28.6,,0,0,11.2,6.3,33.3,1002,96,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-01T08:00:00,39.1,34.1,37.1,92.53,0,14.3,,0,0,12.8,6.9,36.3,1003,92.6,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-01T09:00:00,38.7,33.4,36.8,92.52,0,14.3,,0,0,13.4,7.4,42.3,1004,95.8,15,2,0,0,10,Overcast,cloudy,
nantes,2023-12-01T10:00:00,39.3,33.6,36.6,89.95,0,14.3,,0,0,15.2,8.3,39.9,1004,94,15,25,0.1,0,10,Overcast,cloudy,
nantes,2023-12-01T11:00:00,40.7,35,36.9,86.27,0,14.3,,0,0,16.3,8.9,44.6,1005,76.2,15,67,0.2,1,10,Partially cloudy,partly-cloudy-day,
nantes,2023-12-01T12:00:00,42.2,37.2,37.3,82.77,0,14.3,,0,0,16.3,8.1,44.9,1005,71.4,15,83,0.3,1,10,Partially cloudy,partly-cloudy-day,
nantes,2023-12-01T13:00:00,42.5,37.5,37.1,81.06,0,14.3,,0,0,15.4,8.3,31.4,1005,78.8,15,102,0.4,1,10,Partially cloudy,partly-cloudy-day,
nantes,2023-12-01T14:00:00,42.5,37.3,36,77.68,0,9.5,rain,0,0,16.3,8.7,29.7,1005,81,15,96,0.3,1,10,Partially cloudy,partly-cloudy-day,
nantes,2023-12-01T15:00:00,42.3,37,35.3,76.02,0,9.5,,0,0,16.8,8.9,29.2,1006,76.5,15,45,0.2,0,10,Partially cloudy,partly-cloudy-day,
nantes,2023-12-01T16:00:00,41.8,36.3,34.8,75.97,0,9.5,,0,0,16.8,8.9,27.7,1006,76.3,15,24,0.1,0,10,Partially cloudy,partly-cloudy-day,
nantes,2023-12-01T17:00:00,40.7,35.8,34.4,78.08,0,9.5,,0,0,16.8,7.4,27.1,1007,52.9,15,14,0.1,0,10,Partially cloudy,partly-cloudy-day,
nantes,2023-12-01T18:00:00,39.1,34.5,34.2,82.56,0,9.5,,0,0,13.4,6.3,25.3,1007,53.4,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-01T19:00:00,37.3,34.4,33.3,85.46,0,9.5,,0,0,11,3.8,18.1,1008,0,15,0,0,0,10,Clear,clear-night,
nantes,2023-12-01T20:00:00,35.9,33.5,32.3,86.62,0,4.8,,0,0,6.5,3.1,0.9,1009,0,15,0,0,0,10,Clear,clear-night,
nantes,2023-12-01T21:00:00,34.6,31.3,31.2,87.18,0,4.8,,0,0,6.7,3.8,6.5,1010,0,15,0,0,0,10,Clear,clear-night,
nantes,2023-12-01T22:00:00,34.1,31.2,29.9,84.64,0,4.8,,0,0,6.7,3.4,2.5,1010,0,15,0,0,0,10,Clear,clear-night,
nantes,2023-12-01T23:00:00,33.3,33.3,28.8,83.36,0,4.8,,0,0,5.8,2.9,0.5,1010,0,15,0,0,0,10,Clear,clear-night,
nantes,2023-12-02T00:00:00,33,33,28.7,83.95,0,4.8,,0,0,5.1,2.7,350.8,1011,0,15,0,0,0,10,Clear,clear-night,
nantes,2023-12-02T01:00:00,32.6,32.6,29,86.43,0,4.8,,0,0,4.3,2.5,351.9,1011,0,15,0,0,0,10,Clear,clear-night,
nantes,2023-12-02T02:00:00,32.3,32.3,29.6,89.64,0,0,,0,0,4.5,2.7,349,1012,0,15,0,0,0,10,Clear,clear-night,
nantes,2023-12-02T03:00:00,31.9,31.9,30.3,93.66,0,0,,0,0,5.1,2.9,345.6,1012,0,15,0,0,0,10,Clear,clear-night,
nantes,2023-12-02T04:00:00,31.4,31.4,31,98.55,0,0,,0,0,4.9,2.7,340.6,1013,52.4,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-02T05:00:00,31.2,27.6,31,99.27,0,0,,0,0,6,3.6,358.7,1013,68.2,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-02T06:00:00,30.3,30.3,30.1,99.27,0,0,,0,0,6,2.9,9.4,1014,63.1,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-02T07:00:00,29.9,29.9,28.7,94.99,0,0,,0,0,4.9,2.7,13.1,1015,35.3,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-02T08:00:00,30.4,30.4,27.8,90.22,0,4.8,,0,0,4.2,2.3,128.7,1015.7,23.5,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-02T09:00:00,30.8,30.8,27,85.69,0,4.8,,0,0,3.4,1.9,244.3,1016.3,11.8,15,4,0,0,10,Clear,clear-day,
nantes,2023-12-02T10:00:00,31.2,31.2,26.1,81.37,0,4.8,,0,0,2.7,1.6,359.9,1017,0,15,73,0.3,1,10,Clear,clear-day,
nantes,2023-12-02T11:00:00,33.9,33.9,27.3,76.52,0,4.8,,0,0,3.7,2,345.9,1017.7,7,15,192,0.7,2,10,Clear,clear-day,
nantes,2023-12-02T12:00:00,36.6,36.6,28.4,72.04,0,4.8,,0,0,4.6,2.5,331.8,1018.3,14.1,15,262,0.9,3,10,Clear,clear-day,
nantes,2023-12-02T13:00:00,39.3,39.3,29.6,67.89,0,4.8,,0,0,5.6,2.9,317.8,1019,21.1,15,303,1.1,3,10,Partially cloudy,partly-cloudy-day,
nantes,2023-12-02T14:00:00,40,38.1,30.5,68.47,0,19,,0,0,6.3,3.2,305.2,1019,14.1,15,188,0.7,2,10,Clear,clear-day,
nantes,2023-12-02T15:00:00,40.7,38.6,31.4,69.06,0,19,,0,0,6.9,3.5,292.7,1019,7,15,223,0.8,2,10,Clear,clear-day,
nantes,2023-12-02T16:00:00,41.4,39.2,32.3,69.64,0,19,,0,0,7.6,3.8,280.1,1019,0,15,164,0.6,2,10,Clear,clear-day,
nantes,2023-12-02T17:00:00,39.6,37.7,32,73.95,0,19,,0,0,6.1,3.2,254.4,1019.7,0,15,61,0.2,1,10,Clear,clear-day,
nantes,2023-12-02T18:00:00,37.7,37.7,31.7,78.57,0,19,,0,0,4.6,2.6,228.6,1020.3,0,15,1,0,0,10,Clear,clear-night,
nantes,2023-12-02T19:00:00,35.9,35.9,31.4,83.53,0,19,,0,0,3.1,2,202.9,1021,0,15,0,0,0,10,Clear,clear-night,
nantes,2023-12-02T20:00:00,35,35,30.7,84.08,0,33.3,rain,0,0,3.7,2.3,185.5,1021,0.3,11.7,0,0,0,10,Clear,clear-night,
nantes,2023-12-02T21:00:00,34.1,34.1,29.9,84.64,0,33.3,rain,0,0,4.3,2.6,168.2,1021,0.6,2.9,0,0,0,10,Clear,clear-night,
nantes,2023-12-02T22:00:00,33.2,33.2,29.2,85.2,0,33.3,,0,0,4.9,2.9,150.8,1021,0.9,14.7,0,0,0,10,Clear,clear-night,
nantes,2023-12-02T23:00:00,33.1,30.3,28.4,82.73,0,33.3,,0,0,5.4,3.2,147.1,1021,28,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-03T00:00:00,33.1,29.9,27.7,80.31,0,33.3,,0,0,6,3.5,143.5,1021,55,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-03T01:00:00,33,29.4,26.9,77.96,0,33.3,,0,0,6.5,3.8,139.8,1021,82.1,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-03T02:00:00,33.8,29.4,27.7,78.23,0,23.8,,0,0,8.3,4.8,146.1,1020.7,87.7,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-03T03:00:00,34.5,29.5,28.6,78.49,0,23.8,,0,0,10.1,5.7,152.4,1020.3,93.4,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-03T04:00:00,35.3,29.7,29.4,78.75,0.008,23.8,"rain,snow",0,0,11.9,6.7,158.7,1020,99,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-03T05:00:00,35.5,29.4,30.2,80.91,0,23.8,,0,0,13.7,7.5,156.3,1019.7,98.7,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-03T06:00:00,35.7,29.2,31.1,83.11,0,23.8,,0,0,15.6,8.2,154,1019.3,98.5,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-03T07:00:00,35.9,29,31.9,85.37,0.091,23.8,rain,0,0,17.4,8.9,151.6,1019,98.2,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-03T08:00:00,36.3,29.6,32.6,86.23,0,14.3,,0,0,17.4,8.9,153.8,1019,95.7,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-03T09:00:00,36.8,30.2,33.4,87.09,0,14.3,,0,0,17.3,8.9,156.1,1019,93.2,15,3,0,0,10,Overcast,cloudy,
nantes,2023-12-03T10:00:00,37.3,30.8,34.1,87.95,0.02,14.3,rain,0,0,17.2,8.9,158.3,1019,90.7,15,51,0.2,1,10,Overcast,cloudy,
nantes,2023-12-03T11:00:00,39,33.2,35.5,87,0,14.3,,0,0,16.6,8.5,159,1018.7,93.8,15,111,0.4,1,10,Overcast,cloudy,
nantes,2023-12-03T12:00:00,40.8,35.5,36.9,86.07,0,14.3,,0,0,15.9,8.1,159.7,1018.3,96.9,15,184,0.7,2,10,Overcast,cloudy,
nantes,2023-12-03T13:00:00,42.5,37.9,38.4,85.17,0,14.3,,0,0,15.2,7.6,160.4,1018,100,15,87,0.3,1,10,Overcast,cloudy,
nantes,2023-12-03T14:00:00,42.9,38.3,38.9,85.79,0,28.6,,0,0,14.8,7.5,159.9,1017.7,100,15,92,0.3,1,10,Overcast,cloudy,
nantes,2023-12-03T15:00:00,43.3,38.8,39.5,86.42,0,28.6,,0,0,14.3,7.5,159.3,1017.3,100,15,88,0.3,1,10,Overcast,cloudy,
nantes,2023-12-03T16:00:00,43.6,39.3,40,87.04,0,28.6,,0,0,13.9,7.4,158.8,1017,100,15,103,0.4,1,10,Overcast,cloudy,
nantes,2023-12-03T17:00:00,42.6,38.1,39.2,87.4,0,28.6,,0,0,13.6,7.4,155.4,1016.7,100,15,53,0.2,1,10,Overcast,cloudy,
nantes,2023-12-03T18:00:00,41.7,37,38.3,87.76,0,28.6,,0,0,13.4,7.4,152.1,1016.3,100,15,1,0,0,10,Overcast,cloudy,
nantes,2023-12-03T19:00:00,40.7,35.8,37.5,88.13,0,28.6,,0,0,13.2,7.4,148.7,1016,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-03T20:00:00,40.3,34.8,36.3,85.84,0,28.6,,0,0,14.8,8.2,147.7,1015.3,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-03T21:00:00,39.8,33.8,35.2,83.59,0,28.6,,0,0,16.3,9,146.8,1014.7,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-03T22:00:00,39.3,32.8,34.1,81.39,0,28.6,,0,0,17.9,9.8,145.8,1014,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-03T23:00:00,38,32.5,36.6,94.49,0,28.6,,0,0,15.4,7.4,120.1,1016,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-04T00:00:00,38.4,33,37.3,95.85,0,28.6,,0,0,18.6,7.4,118.7,1015,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-04T01:00:00,38.4,33.2,37.5,96.53,0,28.6,,0,0,17.7,6.9,116.5,1015,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-04T02:00:00,38.7,33.2,37.4,94.96,0,28.6,,0,0,18.9,7.7,113,1014.3,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-04T03:00:00,39,33.1,37.2,93.41,0,28.6,,0,0,20.2,8.4,109.4,1013.7,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-04T04:00:00,39.3,33.1,37.1,91.89,0,28.6,rain,0,0,21.5,9.2,105.9,1013,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-04T05:00:00,39.4,33.1,37,91.03,0,28.6,,0,0,21.2,9.6,103.3,1012.7,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-04T06:00:00,39.5,33,36.9,90.18,0,28.6,,0,0,20.9,10.1,100.8,1012.3,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-04T07:00:00,39.6,33,36.8,89.33,0.008,28.6,rain,0,0,20.6,10.5,98.2,1012,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-04T08:00:00,39.7,32.6,36.3,87.66,0,33.3,,0,0,22.3,11.6,97.4,1012.3,100,15,1.3,0,0,10,Overcast,cloudy,
nantes,2023-12-04T09:00:00,39.8,32.3,35.9,86.01,0,33.3,,0,0,24,12.8,96.5,1012.7,100,15,2.7,0,0,10,Overcast,cloudy,
nantes,2023-12-04T10:00:00,39.8,32,35.5,84.4,0.004,33.3,rain,0,0,25.7,13.9,95.7,1013,100,15,4,0,0,10,Overcast,cloudy,
nantes,2023-12-04T11:00:00,40.9,33.3,35.8,81.71,0,33.3,,0,0,24.6,13.9,96.8,1012.7,97,15,41.7,0.1,0,10,Overcast,cloudy,
nantes,2023-12-04T12:00:00,42,34.7,36,79.12,0,33.3,,0,0,23.5,14,98,1012.3,94,15,79.3,0.3,1,10,Overcast,cloudy,
nantes,2023-12-04T13:00:00,43.1,36,36.2,76.63,0,33.3,,0,0,22.4,14.1,99.1,1012,91,15,117,0.4,1,10,Overcast,cloudy,
nantes,2023-12-04T14:00:00,43.1,36.3,36.7,77.92,0,28.6,,0,0,21.9,13.4,95.5,1012,93.9,15,129.3,0.5,1,10,Overcast,cloudy,
nantes,2023-12-04T15:00:00,43.2,36.6,37.2,79.22,0,28.6,,0,0,21.5,12.8,92,1012,96.9,15,141.7,0.5,1,10,Overcast,cloudy,
nantes,2023-12-04T16:00:00,43.2,36.9,37.7,80.54,0,28.6,,0,0,21,12.1,88.4,1012,99.8,15,154,0.6,2,10,Overcast,cloudy,
nantes,2023-12-04T17:00:00,41.5,34.7,36.7,82.73,0,28.6,,0,0,22.2,12,82.3,1012.7,96.5,15,107,0.4,1,10,Overcast,cloudy,
nantes,2023-12-04T18:00:00,39.8,32.6,35.6,85,0,28.6,,0,0,23.4,11.9,76.2,1013.3,93.3,15,60,0.2,0,10,Overcast,cloudy,
nantes,2023-12-04T19:00:00,38,30.4,34.6,87.36,0,28.6,,0,0,24.6,11.9,70.1,1014,90,15,13,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-04T20:00:00,37.2,29.4,33.8,87.32,0,52.4,rain,0,0,25,11.7,69.4,1014.7,62.9,15,8.7,0,0,10,"Rain, Partially cloudy",rain,
nantes,2023-12-04T21:00:00,36.3,28.4,32.9,87.27,0,52.4,rain,0,0,25.4,11.6,68.6,1015.3,35.9,15,4.3,0,0,10,"Rain, Partially cloudy",rain,
nantes,2023-12-04T22:00:00,35.5,27.4,32.1,87.23,0,52.4,"rain,snow",0,0,25.7,11.4,67.9,1016,8.8,15,0,0,0,10,"Snow, Rain",rain,
nantes,2023-12-04T23:00:00,34.7,26.5,31.3,87.39,0,52.4,"rain,snow",0,0,25.3,11.2,64.4,1016.7,14.8,15,0,0,0,10,"Snow, Rain",rain,
nantes,2023-12-05T00:00:00,33.8,25.5,30.5,87.56,0,52.4,"rain,snow",0,0,24.8,11,60.9,1017.3,20.7,15,0,0,0,10,"Snow, Rain, Partially cloudy",rain,
nantes,2023-12-05T01:00:00,33,24.6,29.7,87.73,0,52.4,"rain,snow",0,0,24.4,10.7,57.4,1018,26.7,15,0,0,0,10,"Snow, Rain, Partially cloudy",rain,
nantes,2023-12-05T02:00:00,32.2,23.8,29,88.12,0,42.9,,0,0,23.6,10.1,57.3,1018.7,22.3,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-05T03:00:00,31.3,23.1,28.3,88.51,0,42.9,,0,0,22.9,9.5,57.1,1019.3,17.9,15,0,0,0,10,Clear,clear-night,
nantes,2023-12-05T04:00:00,30.5,22.4,27.6,88.9,0,42.9,,0,0,22.1,8.9,57,1020,13.5,15,0,0,0,10,Clear,clear-night,
nantes,2023-12-05T05:00:00,30.5,22.6,27.4,88.25,0,42.9,,0,0,21.6,8.6,60.3,1020.3,42.3,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-05T06:00:00,30.5,22.8,27.2,87.6,0,42.9,,0,0,21.1,8.4,63.5,1020.7,71.2,15,0,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-05T07:00:00,30.5,22.9,27,86.95,0,42.9,,0,0,20.6,8.1,66.8,1021,100,15,0,0,0,10,Overcast,cloudy,
nantes,2023-12-05T08:00:00,31.2,23.9,27.1,84.66,0,38.1,,0,0,19.9,7.9,67.4,1021.7,68.3,15,8.7,0,0,10,Partially cloudy,partly-cloudy-night,
nantes,2023-12-05T09:00:00,31.9,24.9,27.2,82.44,0,38.1,,0,0,19.2,7.8,68,1022.3,36.7,15,17.3,0.1,0,10,Partially cloudy,partly-cloudy-day,
nantes,2023-12-05T10:00:00,32.6,25.9,27.2,80.28,0,38.1,,0,0,18.6,7.6,68.6,1023,5,15,26,0.1,0,10,Clear,clear-day,
